gen,AVG,STD,MIN,MAX
433,0.171920667,0.007141573,0.159857,0.185281
434,0.182928333,0.005826003,0.16672,0.191392333
435,0.0827679,0.00605898,0.065801567,0.0912343
436,0.0877585,0.004714513,0.0774841,0.097776133
437,0.092478933,0.003689122,0.0857769,0.0988311
438,0.080026033,0.00341162,0.072825867,0.089757167
439,0.085325633,0.00471505,0.0793513,0.0924094
440,0.090463833,0.00425613,0.081290733,0.096199033
441,0.131603,0.012224903,0.112127333,0.153306667
442,0.155847333,0.011995213,0.126752,0.178774333
443,0.174131333,0.008662413,0.152789,0.182691667
444,0.0788056,0.011247623,0.05088,0.094075633
445,0.089063733,0.006305997,0.072641967,0.0945273
446,0.093633467,0.003114107,0.082877233,0.098639267
447,0.116989667,0.004097826,0.099324033,0.118597
448,0.118186333,0.00206195,0.104496733,0.120151333
449,0.119301667,0.00156073,0.118246333,0.122452333
450,0.097797,0.000542752,0.096746567,0.098610933
451,0.098160367,0.000434588,0.096912167,0.098610933
452,0.0989779,0.001314322,0.0979572,0.102095433
453,0.147614,0.013156413,0.128663667,0.179315667
454,0.168745667,0.012622333,0.143892667,0.182999667
455,0.180428667,0.008506427,0.153042333,0.191447
456,0.182580667,0.010811687,0.158298,0.195224
457,0.192009333,0.004407917,0.179878,0.199373667
458,0.197283333,0.003844803,0.189927333,0.203605
459,0.0712247,0.006583773,0.057297367,0.083009167
460,0.078215233,0.0056167,0.0647234,0.087191433
461,0.084750533,0.00492949,0.069142233,0.095053333
462,0.078533233,0.005140107,0.0692781,0.089040567
463,0.0849731,0.005105757,0.073423167,0.0895523
464,0.0895093,0.00452934,0.0768127,0.096207167
465,0.138348667,0.00576076,0.127346667,0.143903667
466,0.144305667,0.004685443,0.133824,0.153634667
467,0.150467,0.004329673,0.140947333,0.160303667
468,0.134839667,0.014462967,0.107190667,0.160217
469,0.15628,0.008848763,0.132348,0.166587667
470,0.166964333,0.00511019,0.156337,0.179341
471,0.0714416,0.006266383,0.061358833,0.0837304
